outcome,effect_col,setting,graph_type,trend,se,df,lower,upper
influence_in,degree_z,base_llms,erdos-renyi,-0.0011709181350467218,0.0012562923898633972,60873.05771573786,-0.003633254932896247,0.0012914186628028032
influence_in,degree_z,random_roles,erdos-renyi,0.004928502418627605,0.0012562923898633883,60873.057830425445,0.00246616562077819,0.00739083921647702
influence_in,degree_z,random_experts,erdos-renyi,-0.0008601902846486454,0.001256292389863388,60873.05783481825,-0.0033225270824980566,0.001602146513200766
influence_in,degree_z,experts,erdos-renyi,0.005068145469220455,0.001256292389863387,60873.05783447587,0.002605808671371045,0.007530482267069864
influence_in,degree_z,base_llms,watts-strogatz,-0.002962212202808492,0.004316895694961725,60152.008142968014,-0.011423342542786267,0.005498918137169284
influence_in,degree_z,random_roles,watts-strogatz,0.00439178065859378,0.004316895694961533,60152.009085254766,-0.004069349681380955,0.012852910998568515
influence_in,degree_z,random_experts,watts-strogatz,0.003314307776320768,0.004316895694961497,60152.00909495325,-0.005146822563653866,0.011775438116295403
influence_in,degree_z,experts,watts-strogatz,0.023749924940733202,0.004316895694961507,60152.009078966206,0.0152887946007585,0.032211055280707904
influence_out,degree_z,base_llms,erdos-renyi,-0.00010821536470139667,0.00044462444461091635,60257.18552260713,-0.0009796807675952722,0.000763250038192479
influence_out,degree_z,random_roles,erdos-renyi,-0.00020255450701465048,0.00044462444461091115,60257.18551106514,-0.0010740199099085192,0.0006689108958792183
influence_out,degree_z,random_experts,erdos-renyi,-0.00028102954961318376,0.000444624444610911,60257.185513254786,-0.0011524949525070515,0.0005904358532806841
influence_out,degree_z,experts,erdos-renyi,-0.0005995086549353437,0.00044462444461091077,60257.1855144787,-0.001470974057829211,0.0002719567479585234
influence_out,degree_z,base_llms,watts-strogatz,0.0004986192854783911,0.0015230050679616398,60152.00045744823,-0.0024864758613751706,0.0034837144323319525
influence_out,degree_z,random_roles,watts-strogatz,-0.0012505041146466138,0.0015230050679614577,60152.000273185906,-0.004235599261500002,0.0017345910322067747
influence_out,degree_z,random_experts,watts-strogatz,-0.004496789448915058,0.0015230050679614477,60152.000255235194,-0.007481884595768445,-0.0015116943020616709
influence_out,degree_z,experts,watts-strogatz,0.0004526364685613092,0.0015230050679614488,60152.00027570829,-0.0025324586782920597,0.0034377316154146783
influence_in_dir,degree_z,base_llms,erdos-renyi,-0.004206146758069364,0.00422993487113674,60831.75553924738,-0.01249683172150505,0.0040845382053663224
influence_in_dir,degree_z,random_roles,erdos-renyi,-0.023756612179211482,0.004229934871136791,60831.75552006711,-0.03204729714264732,-0.015465927215775645
influence_in_dir,degree_z,random_experts,erdos-renyi,-0.053871113346772165,0.004229934871136788,60831.75551616615,-0.06216179831020801,-0.04558042838333632
influence_in_dir,degree_z,experts,erdos-renyi,-0.03652543466649715,0.004229934871136786,60831.75551549322,-0.044816119629932996,-0.028234749703061307
influence_in_dir,degree_z,base_llms,watts-strogatz,-0.0014438038112925765,0.014736272965682144,60151.969187611416,-0.030326949270487607,0.027439341647902456
influence_in_dir,degree_z,random_roles,watts-strogatz,-0.021279382781938642,0.014736272965683361,60151.9679454834,-0.050162528241148065,0.007603762677270781
influence_in_dir,degree_z,random_experts,watts-strogatz,-0.09426633052890507,0.014736272965683266,60151.9679943422,-0.12314947598811382,-0.06538318506969631
influence_in_dir,degree_z,experts,watts-strogatz,-0.05919333531088906,0.014736272965683288,60151.967964591335,-0.08807648077009815,-0.030310189851679967
influence_out_dir,degree_z,base_llms,erdos-renyi,-0.006795705039360675,0.003869612886616115,61370.49707160808,-0.014380156513690075,0.0007887464349687241
influence_out_dir,degree_z,random_roles,erdos-renyi,0.006551576283045056,0.0038696128866161413,61370.49710708512,-0.0010328751912843078,0.014136027757374419
influence_out_dir,degree_z,random_experts,erdos-renyi,-0.010480601904870662,0.003869612886616138,61370.49709788474,-0.018065053379200044,-0.0028961504305412816
influence_out_dir,degree_z,experts,erdos-renyi,-0.0035278803943120324,0.003869612886616137,61370.4971010147,-0.011112331868641403,0.004056571080017338
