outcome,effect_col,setting,graph_type,trend,se,df,lower,upper
entropy_T,avg_path_length_z,base_llms,erdos-renyi,0.10321265417905046,0.17369427303424528,128.1312779788991,-0.24046778052285428,0.4468930888809552
entropy_T,avg_path_length_z,random_roles,erdos-renyi,0.11161540742052681,0.17369427303438814,128.1313012956495,-0.23206502668547233,0.4552958415265259
entropy_T,avg_path_length_z,random_experts,erdos-renyi,-0.1152572297833602,0.17369427303441692,128.1313022992965,-0.4589376638637539,0.22842320429703353
entropy_T,avg_path_length_z,experts,erdos-renyi,-0.19311757228801857,0.17369427303441606,128.1313144829283,-0.5367980060568862,0.15056286148084913
entropy_T,avg_path_length_z,base_llms,watts-strogatz,-0.002296129864968313,0.03800681077287903,128.13132344717917,-0.07749836293626088,0.07290610320632425
entropy_T,avg_path_length_z,random_roles,watts-strogatz,0.014049337543816348,0.038006810772879436,128.13132161663353,-0.06115289553771873,0.08925157062535143
entropy_T,avg_path_length_z,random_experts,watts-strogatz,0.02485267818017664,0.03800681077287871,128.13132358616554,-0.05034955489033768,0.10005491125069096
entropy_T,avg_path_length_z,experts,watts-strogatz,0.08118750251045143,0.038006810772878936,128.1313249496216,0.005985269447565028,0.15638973557333782
modal_consensus_T,avg_path_length_z,base_llms,erdos-renyi,-0.03661407004969524,0.07553771474715036,1244.9999539409612,-0.1848093405714044,0.11158120047201392
modal_consensus_T,avg_path_length_z,random_roles,erdos-renyi,0.010993814221165146,0.07553771474719054,1244.9999090436636,-0.13720145630582326,0.15918908474815358
modal_consensus_T,avg_path_length_z,random_experts,erdos-renyi,0.04490260014346537,0.07553771474719874,1244.9999102685128,-0.10329267038339726,0.193097870670328
modal_consensus_T,avg_path_length_z,experts,erdos-renyi,0.0496096666161931,0.07553771474719745,1244.9999100188195,-0.09858560391069593,0.19780493714308212
modal_consensus_T,avg_path_length_z,base_llms,watts-strogatz,0.003150018580469538,0.016528740875893105,1244.9999116356225,-0.029277242871196374,0.03557728003213545
modal_consensus_T,avg_path_length_z,random_roles,watts-strogatz,-0.0031285836333444367,0.016528740875893077,1244.9999109368077,-0.03555584508502801,0.029298677818339135
modal_consensus_T,avg_path_length_z,random_experts,watts-strogatz,-0.01360047392339113,0.01652874087589279,1244.9999128939917,-0.04602773537502453,0.018826787528242274
modal_consensus_T,avg_path_length_z,experts,watts-strogatz,-0.04455621207184929,0.01652874087589313,1244.999910720517,-0.07698347352353845,-0.012128950620160131
polarization_T,avg_path_length_z,base_llms,erdos-renyi,0.07640907056241426,0.06974235267528209,1245.0000297829204,-0.060416445744472816,0.21323458686930136
polarization_T,avg_path_length_z,random_roles,erdos-renyi,0.0414909722639602,0.06974235267532072,1245.0000025428722,-0.09533454404591582,0.17831648857383622
polarization_T,avg_path_length_z,random_experts,erdos-renyi,-0.07169945787369807,0.06974235267533613,1245.000002808237,-0.20852497418357596,0.06512605843617982
polarization_T,avg_path_length_z,experts,erdos-renyi,-0.07597515565195763,0.0697423526753304,1244.999996812489,-0.21280067196246544,0.06085036065855019
polarization_T,avg_path_length_z,base_llms,watts-strogatz,-0.006104257120525383,0.015260632113423182,1245.0000002781571,-0.03604365245263583,0.023835138211585057
