model,experiment_group,graph_type,consensus_agreement_point,consensus_agreement_ci_lower,consensus_agreement_ci_upper,mcc_point,mcc_ci_lower,mcc_ci_upper
m1,base_llms,erdos-renyi,0.9108270202020202,0.8873796559343434,0.9361643781565656,0.9235706018677351,0.9000898940063436,0.9445701017403416
m1,base_llms,watts-strogatz,0.9043560606060606,0.8833609532828283,0.9269333964646465,0.9020933330846235,0.8765862346486323,0.9264639414458495
m1,experts,erdos-renyi,0.7367424242424243,0.7061927872474748,0.7724135890151516,0.8170158954822543,0.7849624111923257,0.8474329501627347
m1,experts,watts-strogatz,0.7341382575757576,0.6956104008838384,0.7815696022727273,0.7962728409468958,0.7587877716329803,0.8309546079409981
m1,random_experts,erdos-renyi,0.7214330808080809,0.6954703282828283,0.7518209438131312,0.7629968941657567,0.7278986963859155,0.7970128510072059
m1,random_experts,watts-strogatz,0.733270202020202,0.7042278251262626,0.7687282986111111,0.8436985588151734,0.8134730146529973,0.8715326220525977
m1,random_roles,erdos-renyi,0.8009785353535354,0.7780894886363636,0.8245857007575758,0.8608277932632433,0.8298908242528793,0.8890209942589098
m1,random_roles,watts-strogatz,0.8212594696969697,0.7982125946969697,0.8438427241161617,0.9469500120803958,0.9276886942868513,0.9647158374167959
m2,base_llms,erdos-renyi,0.9818497474747475,0.9581755050505051,1.0,0.9176666818882724,0.8946292159484748,0.9410868468626332
m2,base_llms,watts-strogatz,0.9674873737373737,0.9256549873737374,1.0,0.8985911913838744,0.87202134917294,0.9234411021586824
m2,experts,erdos-renyi,0.9220328282828283,0.8907788825757575,0.9476069286616162,0.7469810918910355,0.7124897743698,0.7811474238245947
m2,experts,watts-strogatz,0.9061710858585859,0.870736663510101,0.9364760890151516,0.7170016411274854,0.6777794635761473,0.7533469523454807
m2,random_experts,erdos-renyi,0.9345012626262627,0.9101878156565657,0.9526534880050506,0.7894459517596518,0.7560352074455343,0.8219277262334735
m2,random_experts,watts-strogatz,0.9182449494949495,0.8827947443181818,0.947533933080808,0.7825999418847102,0.7507890173963994,0.8145130258647586
m2,random_roles,erdos-renyi,0.9412878787878788,0.9123224431818182,0.966305634469697,0.908381842817496,0.8853363054477401,0.9314237793945916
m2,random_roles,watts-strogatz,0.9604640151515151,0.9399404198232323,0.9768821022727273,0.9393818144242909,0.9192472576631388,0.9590834383451703
m2-5,base_llms,erdos-renyi,0.8009785353535354,0.7861407039141414,0.814236111111111,0.9823515548211217,0.9700864170651513,0.9928785247746503
m2-5,base_llms,watts-strogatz,0.8166035353535354,0.7960838857323232,0.8410688920454545,0.9020933330846235,0.8765862346486323,0.9264639414458495
m2-5,experts,erdos-renyi,0.9363162878787878,0.91342132260101,0.9547052556818182,0.7985213070347089,0.7630213519746449,0.8308174229390056
m2-5,experts,watts-strogatz,0.923532196969697,0.8903093434343434,0.9487926136363637,0.787132504560565,0.7495973529980335,0.8226136038294819
m2-5,random_experts,erdos-renyi,0.9448390151515151,0.9313348327020202,0.9564453125,0.8074946997055101,0.7756806520767252,0.8388435344314473
m2-5,random_experts,watts-strogatz,0.9326073232323232,0.9054588857323232,0.9563624526515152,0.8482203607902389,0.8194252033238524,0.876784914631964
m2-5,random_roles,erdos-renyi,0.8473011363636364,0.816897490530303,0.8765920928030303,0.8750677279993792,0.8466242560732736,0.9024337685334727
m2-5,random_roles,watts-strogatz,0.8667140151515151,0.838934264520202,0.8927694917929293,0.947770734075525,0.9271347778078388,0.9653231878193419
m3,base_llms,erdos-renyi,0.8112373737373737,0.7810921717171717,0.8420947758838384,0.9716100547193903,0.9568212429775855,0.9840454826936605
m3,base_llms,watts-strogatz,0.7843276515151515,0.7521997316919191,0.8169211647727272,0.9245780339870034,0.9027497796443618,0.9456833730092102
m3,experts,erdos-renyi,0.9113005050505051,0.8847024936868687,0.9331616950757575,0.8149369160788318,0.7848119739035603,0.8464249286974913
m3,experts,watts-strogatz,0.905145202020202,0.8888040561868686,0.919040009469697,0.8055289191457125,0.7704401527501931,0.8375648430650603
m3,random_experts,erdos-renyi,0.929135101010101,0.9157946654040404,0.9419191919191919,0.8058314911579562,0.7739097828108125,0.8377962632409848
m3,random_experts,watts-strogatz,0.9087752525252525,0.8898319128787879,0.9257496843434343,0.8643143491237779,0.835635186911627,0.8905155581318883
m3,random_roles,erdos-renyi,0.7779356060606061,0.7538648200757576,0.8008996212121212,0.9080177470687811,0.8835667049179999,0.9323310963820189
m3,random_roles,watts-strogatz,0.7601799242424242,0.7384765625,0.7807824337121213,0.938124970093211,0.9182114959518307,0.9579121456864353
m4,base_llms,erdos-renyi,0.8100536616161615,0.7793540877525253,0.8426471748737374,0.9716100547193903,0.9568212429775855,0.9840454826936605
m4,base_llms,watts-strogatz,0.7848011363636364,0.7522865372474749,0.8171598800505051,0.9245780339870034,0.9027497796443618,0.9456833730092102
m4,experts,erdos-renyi,0.9254261363636364,0.9063229955808081,0.9414496527777778,0.8474232647925983,0.8174918632746343,0.8760824716689075
m4,experts,watts-strogatz,0.8980429292929293,0.8790995896464646,0.9176136363636364,0.8204396659117869,0.7869371560511617,0.8528151469461545
m4,random_experts,erdos-renyi,0.9379734848484849,0.9252683080808081,0.9482342960858586,0.824609201454493,0.7933845241962177,0.8550531233891946
m4,random_experts,watts-strogatz,0.9209280303030303,0.9049854008838384,0.9339488636363636,0.8906149979597248,0.8650205184293565,0.9158132340026401
m4,random_roles,erdos-renyi,0.7763573232323232,0.7495205965909091,0.8017696496212121,0.9027594970198995,0.877118266396386,0.9283566931777901
m4,random_roles,watts-strogatz,0.7662563131313131,0.7421066130050504,0.7883562184343434,0.9470575418564479,0.9276538661414209,0.9647487448471491
