fit_mode,model,n_conditions,mean_accuracy,mean_behavior_error,mean_combo_rank
full_trajectories,m4,16,0.9345401716820988,0.16042011916035354,2.0625
single_transitions,m4,16,0.9345401716820988,0.16042011916035354,2.0625
full_trajectories,m3,16,0.9281364535108024,0.16549232559974747,2.75
single_transitions,m3,16,0.9281364535108024,0.16549232559974747,2.75
full_trajectories,m2-5,16,0.9204469280478395,0.184814453125,2.9375
single_transitions,m2-5,16,0.9204469280478395,0.184814453125,2.9375
full_trajectories,m2,16,0.9116337528935186,0.09203361742424242,3.1875
single_transitions,m2,16,0.9116337528935186,0.09203361742424242,3.1875
full_trajectories,m1,16,0.9107849874614198,0.22205798216540404,4.0625
single_transitions,m1,16,0.9107849874614198,0.22205798216540404,4.0625
