trajectory_id,split
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__0,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__1,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__10,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__11,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__12,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__13,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__14,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__15,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__16,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__17,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__18,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__19,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__2,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__20,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__21,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__22,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__23,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/base_llms/watts-strogatz/wR_L/false_0/2026-01-09_18-00-48__24,train
