trajectory_id,split
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__0,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__1,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__10,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__11,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__12,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__13,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__14,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__15,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__16,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__17,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__18,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__19,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__2,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__20,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__21,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__22,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__23,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__24,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__25,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__26,train
/Users/REDACTED/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/erdos-renyi/wR_L/false_0/2026-01-12_10-09-07__27,train
