trajectory_id,split
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__0,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__1,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__10,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__11,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__12,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__13,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__14,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__15,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__16,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__17,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__18,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__19,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__2,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__20,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__21,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__22,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__23,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__24,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__25,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__26,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__27,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__28,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__29,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__3,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__30,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__31,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__32,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__33,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__34,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__35,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__36,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__37,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__38,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__39,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__4,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__40,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__41,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__42,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__43,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__44,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__45,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__46,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__47,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__5,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__6,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__7,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__8,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_04-53-54__9,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__0,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__1,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__10,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__11,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__12,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__13,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__14,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__15,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__16,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__17,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__18,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__19,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__2,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__20,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__21,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__22,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__23,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__24,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__25,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__26,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__27,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__28,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__29,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__3,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__30,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__31,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__32,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__33,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__34,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__35,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__36,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__37,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__38,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__39,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__4,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__40,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__41,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__42,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__43,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__44,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__45,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__46,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__47,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__5,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__6,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__7,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__8,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_18-17-33__9,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__0,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__1,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__10,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__11,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__12,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__13,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__14,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__15,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__16,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__17,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__18,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__19,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__2,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__20,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__21,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__22,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__23,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__24,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__25,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__26,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__27,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__28,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__29,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__3,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__30,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__31,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__32,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__33,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__34,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__35,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__36,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__37,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__38,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__39,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__4,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__40,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__41,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__42,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__43,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__44,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/experts/erdos-renyi/wR_L/false_0/2026-01-15_19-53-05__45,train
