trajectory_id,split
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__0,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__1,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__10,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__11,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__12,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__13,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__14,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__15,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__16,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__17,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__18,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__19,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__2,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__20,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__21,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__22,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__23,train
/Users/gs/Documents/GitHub/llm-debate-sim/data/outputs/runs/zeroshot/random_roles/watts-strogatz/wR_L/false_0/2026-01-12_09-34-39__24,train
